Placed In,Class 10 Percentage,Class 12 Percentage,Degree Percentage,Degree CGPA,Live Backlogs,Education Gap,Year down,Internship Details
1,78,63,77,8,0,0,0,1
1,91,81,69,8,0,0,0,1
1,94,76,82,9,0,0,0,1
1,93,75,90,10,0,0,0,1
1,89,79,85,9,0,0,0,1
1,82,63,69,8,0,0,1,1
1,84,75,76,8,0,0,0,1
1,86,75,74,8,0,0,0,1
1,96,76,81,10,0,0,0,1
1,86,74,80,9,0,1,0,1
1,84,73,76,8,0,0,0,1
1,91,60,62,8,0,0,3,1
1,76,73,81,9,0,1,0,1
1,68,56,73,8,0,1,0,1
1,80,72,69,8,0,0,0,1
1,73,75,82,9,0,0,0,1
1,89,70,82,9,0,0,0,1
1,92,73,83,9,0,0,0,1
1,92,83,89,10,0,0,0,1
1,88,70,79,9,0,0,0,1
1,91,80,90,10,0,1,0,1
1,85,81,74,8,0,0,0,1
1,76,60,76,8,0,0,0,1
0,82,62,71,7,0,0,2,1
1,95,77,85,9,0,0,0,1
1,94,82,88,10,0,0,0,1
1,91,82,80,10,0,0,0,1
1,89,73,88,10,0,0,0,1
1,83,64,70,8,0,0,1,1
1,85,70,86,9,0,0,0,1
1,93,80,88,10,0,0,0,1
0,91,71,72,8,0,0,0,1
1,87,80,70,8,0,0,0,1
1,94,87,85,9,0,0,0,1
1,85,59,75,8,0,0,0,1
0,92,78,73,8,0,0,0,1
1,89,72,74,8,0,0,1,1
1,88,77,82,9,0,0,0,1
1,92,76,94,10,0,0,0,1
1,57,58,79,9,0,2,0,1
0,69,86,82,9,0,0,0,1
1,93,87,84,9,0,0,0,1
1,83,70,80,9,0,0,0,1
1,78,79,77,8,0,0,0,1
1,79,63,72,9,0,0,0,1
1,84,73,86,9,0,0,0,1
1,83,85,82,9,0,0,0,1
1,81,65,80,9,0,0,0,1
1,82,70,64,7,0,0,1,1
0,80,70,74,8,0,0,1,1
1,88,69,70,7,0,0,0,1
1,94,76,77,8,0,0,0,1
1,86,77,73,8,0,0,0,1
1,91,84,84,10,0,0,0,1
1,82,74,77,8,0,0,0,1
0,89,75,78,9,0,0,0,1
1,92,79,78,9,0,0,0,1
1,74,77,75,8,0,0,0,1
1,84,59,66,7,0,0,0,1
1,76,74,79,8,0,0,0,1
1,76,62,72,8,0,1,0,1
1,90,84,84,9,0,0,0,1
1,95,85,79,9,0,0,0,1
1,94,84,85,9,0,0,0,1
1,86,73,83,10,0,0,0,1
1,80,71,75,8,0,0,0,1
1,80,73,81,9,0,0,0,1
1,88,76,75,9,0,0,0,1
